Source dimensions and mount witnesses checked; comparing inherited geometry.
Local interfaces checked; loading standard floor and neighboring context.
Independent checks: 117 failures: []
ClutchSupport_RightMount1 pairs: 2 overlaps: 0
ClutchSupport_RightMount2 pairs: 4 overlaps: 0
ClutchSupport_RightMount3 pairs: 6 overlaps: 0
ClutchSupport_RightMount4 pairs: 8 overlaps: 0
ClutchSupport_RightBracket pairs: 13 overlaps: 0
ClutchSupport_LeftMount1 pairs: 15 overlaps: 0
ClutchSupport_LeftMount2 pairs: 17 overlaps: 0
ClutchSupport_LeftMount3 pairs: 19 overlaps: 0
ClutchSupport_LeftMount4 pairs: 21 overlaps: 0
ClutchSupport_LeftBracket pairs: 43 overlaps: 0
ClutchSupport_MainSetScrew pairs: 45 overlaps: 0
ClutchSupport_AuxLever1 pairs: 48 overlaps: 0
ClutchSupport_AuxKey1 pairs: 49 overlaps: 0
ClutchSupport_AuxTaper1 pairs: 50 overlaps: 0
ClutchSupport_AuxLever2 pairs: 56 overlaps: 0
ClutchSupport_AuxKey2 pairs: 57 overlaps: 0
ClutchSupport_AuxTaper2 pairs: 58 overlaps: 0
ClutchSupport_AuxShaft pairs: 58 overlaps: 0
ClutchSupport_RearAuxRod pairs: 62 overlaps: 0
ClutchSupport_MainFork pairs: 65 overlaps: 0
ClutchSupport_MainForkPin pairs: 67 overlaps: 0
ClutchSupport_MainForkCotter pairs: 68 overlaps: 0
ClutchSupport_MainRodNut pairs: 68 overlaps: 0
ClutchSupport_AuxFork pairs: 70 overlaps: 0
ClutchSupport_AuxForkPin pairs: 71 overlaps: 0
ClutchSupport_AuxForkCotter pairs: 71 overlaps: 0
ClutchSupport_AuxRodNut pairs: 71 overlaps: 0
hull_floor_7 pairs: 81 overlaps: 0
ClutchThrowout_Shaft pairs: 87 overlaps: 0
ClutchThrowout_OperatingLever pairs: 88 overlaps: 0
