Independent geometry: 90 checks; failures: []
ClutchThrowout_LeftBearingOuter 31 pairs; 0 overlaps
ClutchThrowout_LeftBearingInner 61 pairs; 0 overlaps
ClutchThrowout_LeftBearingCage 88 pairs; 0 overlaps
ClutchThrowout_LeftBall01 89 pairs; 0 overlaps
ClutchThrowout_LeftBall02 91 pairs; 0 overlaps
ClutchThrowout_LeftBall03 93 pairs; 0 overlaps
ClutchThrowout_LeftBall04 94 pairs; 0 overlaps
ClutchThrowout_LeftBall05 96 pairs; 0 overlaps
ClutchThrowout_LeftBall06 98 pairs; 0 overlaps
ClutchThrowout_LeftBall07 99 pairs; 0 overlaps
ClutchThrowout_LeftBall08 101 pairs; 0 overlaps
ClutchThrowout_LeftBall09 103 pairs; 0 overlaps
ClutchThrowout_LeftBall10 104 pairs; 0 overlaps
ClutchThrowout_LeftBall11 106 pairs; 0 overlaps
ClutchThrowout_LeftBall12 108 pairs; 0 overlaps
ClutchThrowout_LeftBall13 110 pairs; 0 overlaps
ClutchThrowout_LeftBall14 113 pairs; 0 overlaps
ClutchThrowout_LeftBall15 116 pairs; 0 overlaps
ClutchThrowout_LeftBall16 118 pairs; 0 overlaps
ClutchThrowout_LeftBall17 121 pairs; 0 overlaps
ClutchThrowout_LeftBall18 124 pairs; 0 overlaps
ClutchThrowout_LeftBall19 126 pairs; 0 overlaps
ClutchThrowout_LeftBall20 129 pairs; 0 overlaps
ClutchThrowout_LeftBall21 132 pairs; 0 overlaps
ClutchThrowout_LeftBall22 134 pairs; 0 overlaps
ClutchThrowout_LeftBall23 137 pairs; 0 overlaps
ClutchThrowout_LeftBall24 140 pairs; 0 overlaps
ClutchThrowout_LeftPin 148 pairs; 0 overlaps
ClutchThrowout_LeftOuterWasher 150 pairs; 0 overlaps
ClutchThrowout_LeftInnerWasher 152 pairs; 0 overlaps
ClutchThrowout_LeftRetainerWasher 154 pairs; 0 overlaps
ClutchThrowout_LeftLockwasher 156 pairs; 0 overlaps
ClutchThrowout_LeftNut 157 pairs; 0 overlaps
ClutchThrowout_LeftLever 162 pairs; 0 overlaps
ClutchThrowout_LeftPinLockScrew 163 pairs; 0 overlaps
ClutchThrowout_LeftPinLockNut 163 pairs; 0 overlaps
ClutchThrowout_RightBearingOuter 194 pairs; 0 overlaps
ClutchThrowout_RightBearingInner 224 pairs; 0 overlaps
ClutchThrowout_RightBearingCage 251 pairs; 0 overlaps
ClutchThrowout_RightBall01 252 pairs; 0 overlaps
ClutchThrowout_RightBall02 254 pairs; 0 overlaps
ClutchThrowout_RightBall03 256 pairs; 0 overlaps
ClutchThrowout_RightBall04 257 pairs; 0 overlaps
ClutchThrowout_RightBall05 259 pairs; 0 overlaps
ClutchThrowout_RightBall06 261 pairs; 0 overlaps
ClutchThrowout_RightBall07 262 pairs; 0 overlaps
ClutchThrowout_RightBall08 264 pairs; 0 overlaps
ClutchThrowout_RightBall09 266 pairs; 0 overlaps
ClutchThrowout_RightBall10 267 pairs; 0 overlaps
ClutchThrowout_RightBall11 269 pairs; 0 overlaps
ClutchThrowout_RightBall12 271 pairs; 0 overlaps
ClutchThrowout_RightBall13 273 pairs; 0 overlaps
ClutchThrowout_RightBall14 276 pairs; 0 overlaps
ClutchThrowout_RightBall15 279 pairs; 0 overlaps
ClutchThrowout_RightBall16 281 pairs; 0 overlaps
ClutchThrowout_RightBall17 284 pairs; 0 overlaps
ClutchThrowout_RightBall18 287 pairs; 0 overlaps
ClutchThrowout_RightBall19 289 pairs; 0 overlaps
ClutchThrowout_RightBall20 292 pairs; 0 overlaps
ClutchThrowout_RightBall21 295 pairs; 0 overlaps
ClutchThrowout_RightBall22 297 pairs; 0 overlaps
ClutchThrowout_RightBall23 300 pairs; 0 overlaps
ClutchThrowout_RightBall24 303 pairs; 0 overlaps
ClutchThrowout_RightPin 311 pairs; 0 overlaps
ClutchThrowout_RightOuterWasher 313 pairs; 0 overlaps
ClutchThrowout_RightInnerWasher 315 pairs; 0 overlaps
ClutchThrowout_RightRetainerWasher 317 pairs; 0 overlaps
ClutchThrowout_RightLockwasher 319 pairs; 0 overlaps
ClutchThrowout_RightNut 320 pairs; 0 overlaps
ClutchThrowout_RightLever 325 pairs; 0 overlaps
ClutchThrowout_RightPinLockScrew 326 pairs; 0 overlaps
ClutchThrowout_RightPinLockNut 326 pairs; 0 overlaps
ClutchThrowout_Shaft 330 pairs; 0 overlaps
ClutchThrowout_OperatingLever 332 pairs; 0 overlaps
ClutchThrowout_MainKey1 332 pairs; 0 overlaps
ClutchThrowout_MainKey2 332 pairs; 0 overlaps
ClutchThrowout_MainKey3 332 pairs; 0 overlaps
