Independent geometry: 90 checks; failures: []
ClutchThrowout_LeftBearingOuter 35 pairs; 0 overlaps
ClutchThrowout_LeftBearingInner 69 pairs; 0 overlaps
ClutchThrowout_LeftBearingCage 100 pairs; 0 overlaps
ClutchThrowout_LeftBall01 101 pairs; 0 overlaps
ClutchThrowout_LeftBall02 103 pairs; 0 overlaps
ClutchThrowout_LeftBall03 105 pairs; 0 overlaps
ClutchThrowout_LeftBall04 106 pairs; 0 overlaps
ClutchThrowout_LeftBall05 107 pairs; 0 overlaps
ClutchThrowout_LeftBall06 109 pairs; 0 overlaps
ClutchThrowout_LeftBall07 111 pairs; 0 overlaps
ClutchThrowout_LeftBall08 112 pairs; 0 overlaps
ClutchThrowout_LeftBall09 114 pairs; 0 overlaps
ClutchThrowout_LeftBall10 116 pairs; 0 overlaps
ClutchThrowout_LeftBall11 117 pairs; 0 overlaps
ClutchThrowout_LeftBall12 118 pairs; 0 overlaps
ClutchThrowout_LeftBall13 120 pairs; 0 overlaps
ClutchThrowout_LeftBall14 122 pairs; 0 overlaps
ClutchThrowout_LeftBall15 124 pairs; 0 overlaps
ClutchThrowout_LeftBall16 127 pairs; 0 overlaps
ClutchThrowout_LeftBall17 130 pairs; 0 overlaps
ClutchThrowout_LeftBall18 132 pairs; 0 overlaps
ClutchThrowout_LeftBall19 134 pairs; 0 overlaps
ClutchThrowout_LeftBall20 137 pairs; 0 overlaps
ClutchThrowout_LeftBall21 140 pairs; 0 overlaps
ClutchThrowout_LeftBall22 142 pairs; 0 overlaps
ClutchThrowout_LeftBall23 145 pairs; 0 overlaps
ClutchThrowout_LeftBall24 148 pairs; 0 overlaps
ClutchThrowout_LeftBall25 150 pairs; 0 overlaps
ClutchThrowout_LeftBall26 152 pairs; 0 overlaps
ClutchThrowout_LeftBall27 155 pairs; 0 overlaps
ClutchThrowout_LeftBall28 158 pairs; 0 overlaps
ClutchThrowout_LeftPin 166 pairs; 0 overlaps
ClutchThrowout_LeftOuterWasher 168 pairs; 0 overlaps
ClutchThrowout_LeftInnerWasher 170 pairs; 0 overlaps
ClutchThrowout_LeftRetainerWasher 172 pairs; 0 overlaps
ClutchThrowout_LeftLockwasher 174 pairs; 0 overlaps
ClutchThrowout_LeftNut 175 pairs; 0 overlaps
ClutchThrowout_LeftLever 180 pairs; 0 overlaps
ClutchThrowout_LeftPinLockScrew 181 pairs; 0 overlaps
ClutchThrowout_LeftPinLockNut 181 pairs; 0 overlaps
ClutchThrowout_RightBearingOuter 216 pairs; 0 overlaps
ClutchThrowout_RightBearingInner 250 pairs; 0 overlaps
ClutchThrowout_RightBearingCage 281 pairs; 0 overlaps
ClutchThrowout_RightBall01 282 pairs; 0 overlaps
ClutchThrowout_RightBall02 284 pairs; 0 overlaps
ClutchThrowout_RightBall03 286 pairs; 0 overlaps
ClutchThrowout_RightBall04 287 pairs; 0 overlaps
ClutchThrowout_RightBall05 288 pairs; 0 overlaps
ClutchThrowout_RightBall06 290 pairs; 0 overlaps
ClutchThrowout_RightBall07 292 pairs; 0 overlaps
ClutchThrowout_RightBall08 293 pairs; 0 overlaps
ClutchThrowout_RightBall09 295 pairs; 0 overlaps
ClutchThrowout_RightBall10 297 pairs; 0 overlaps
ClutchThrowout_RightBall11 298 pairs; 0 overlaps
ClutchThrowout_RightBall12 299 pairs; 0 overlaps
ClutchThrowout_RightBall13 301 pairs; 0 overlaps
ClutchThrowout_RightBall14 303 pairs; 0 overlaps
ClutchThrowout_RightBall15 305 pairs; 0 overlaps
ClutchThrowout_RightBall16 308 pairs; 0 overlaps
ClutchThrowout_RightBall17 311 pairs; 0 overlaps
ClutchThrowout_RightBall18 313 pairs; 0 overlaps
ClutchThrowout_RightBall19 315 pairs; 0 overlaps
ClutchThrowout_RightBall20 318 pairs; 0 overlaps
ClutchThrowout_RightBall21 321 pairs; 0 overlaps
ClutchThrowout_RightBall22 323 pairs; 0 overlaps
ClutchThrowout_RightBall23 326 pairs; 0 overlaps
ClutchThrowout_RightBall24 329 pairs; 0 overlaps
ClutchThrowout_RightBall25 331 pairs; 0 overlaps
ClutchThrowout_RightBall26 333 pairs; 0 overlaps
ClutchThrowout_RightBall27 336 pairs; 0 overlaps
ClutchThrowout_RightBall28 339 pairs; 0 overlaps
ClutchThrowout_RightPin 347 pairs; 0 overlaps
ClutchThrowout_RightOuterWasher 349 pairs; 0 overlaps
ClutchThrowout_RightInnerWasher 351 pairs; 0 overlaps
ClutchThrowout_RightRetainerWasher 353 pairs; 0 overlaps
ClutchThrowout_RightLockwasher 355 pairs; 0 overlaps
ClutchThrowout_RightNut 356 pairs; 0 overlaps
ClutchThrowout_RightLever 361 pairs; 0 overlaps
ClutchThrowout_RightPinLockScrew 362 pairs; 0 overlaps
ClutchThrowout_RightPinLockNut 362 pairs; 0 overlaps
ClutchThrowout_Shaft 366 pairs; 0 overlaps
ClutchThrowout_OperatingLever 368 pairs; 0 overlaps
ClutchThrowout_MainKey1 368 pairs; 0 overlaps
ClutchThrowout_MainKey2 368 pairs; 0 overlaps
ClutchThrowout_MainKey3 368 pairs; 0 overlaps
