pdf_page,label,source,width_points,height_points,treatment
1,Title,Primary PDF page 1,432,648,text
2,Document notice,Secondary PDF page 2,432,648,text
3,3,Secondary PDF page 3,432,648,text
4,5 / Contents,Primary PDF page 2,432,648,text
5,Plate A,Primary PDF page 3,648,432,grayscale photograph; native caption
6,Plate B,Primary PDF page 4,648,432,grayscale photograph; native caption
7,Plate C,Primary PDF page 5,648,432,grayscale photograph; native caption
8,7,Primary PDF page 6,432,648,text
9,8,Primary PDF page 7,432,648,text
10,9,Primary PDF page 8,432,648,text
11,10,Primary PDF page 9,432,648,text
12,11,Primary PDF page 10,432,648,text
13,12,Primary PDF page 11,432,648,text
14,13,Primary PDF page 12,432,648,text
15,14,Primary PDF page 13,432,648,text
16,15,Primary PDF page 14,432,648,text
17,16,Primary PDF page 15,432,648,text
18,17,Primary PDF page 16,432,648,text
19,18,Primary PDF page 17,432,648,text
20,19,Primary PDF page 18,432,648,text
21,20,Primary PDF page 19,432,648,text
22,21,Primary PDF page 20,432,648,text
23,Plate I,Primary PDF page 21,648,432,source-pixel drawing; all labels retained in image
24,Plate II,Secondary PDF page 24,864,648,source-pixel drawing; all labels retained in image
25,Plate III,Primary PDF page 22,432,648,source-pixel drawing; all labels retained in image
26,Plate IV,Primary PDF page 23,432,648,source-pixel drawing; all labels retained in image
27,Plate V,Secondary PDF page 27,864,648,source-pixel drawing; all labels retained in image
28,Plate VI,Primary PDF page 24,864,648,source-pixel drawing; all labels retained in image
29,Plate VII,Primary PDF page 25,864,648,source-pixel drawing; all labels retained in image
30,Plate VIII,Primary PDF page 26,864,648,source-pixel drawing; all labels retained in image
31,Plate IX,Primary PDF page 27,432,648,source-pixel drawing; all labels retained in image
32,Plate X,Primary PDF page 28,864,648,source-pixel drawing; all labels retained in image
