level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	995	224	-1	
2	1	1	0	0	0	4	17	981	196	-1	
3	1	1	1	0	0	15	17	970	126	-1	
4	1	1	1	1	0	101	17	884	41	-1	
5	1	1	1	1	1	101	23	111	31	80.966644	ARLY
5	1	1	1	1	2	227	23	33	29	96.510010	in
5	1	1	1	1	3	275	22	54	30	96.533554	the
5	1	1	1	1	4	348	20	125	38	96.348404	Spring
5	1	1	1	1	5	490	19	35	30	95.923836	of
5	1	1	1	1	6	543	19	80	30	95.923836	1919
5	1	1	1	1	7	641	18	94	30	96.612518	there
5	1	1	1	1	8	751	27	67	21	96.863457	was
5	1	1	1	1	9	834	17	151	30	96.287750	received
4	1	1	1	2	0	15	25	970	118	-1	
5	1	1	1	2	1	15	25	79	118	51.490688	k
5	1	1	1	2	2	110	79	29	27	96.398247	at
5	1	1	1	2	3	153	75	84	31	96.922852	Rock
5	1	1	1	2	4	250	74	114	31	95.464691	Island
5	1	1	1	2	5	377	72	144	31	96.668083	Arsenal
5	1	1	1	2	6	535	81	60	21	96.152985	one
5	1	1	1	2	7	609	70	36	31	96.808968	of
5	1	1	1	2	8	658	70	57	31	96.129150	the
5	1	1	1	2	9	729	70	124	38	96.582230	largest
5	1	1	1	2	10	870	69	115	31	96.652100	orders
3	1	1	2	0	0	4	121	981	92	-1	
4	1	1	2	1	0	109	121	876	43	-1	
5	1	1	2	1	1	109	128	31	29	96.641357	in
5	1	1	2	1	2	155	128	39	30	96.142212	its
5	1	1	2	1	3	209	127	133	37	96.385918	history.
5	1	1	2	1	4	383	125	78	30	95.661728	This
5	1	1	2	1	5	479	124	97	30	95.993141	order
5	1	1	2	1	6	593	123	139	31	95.674568	covered
5	1	1	2	1	7	748	123	56	30	96.831551	the
5	1	1	2	1	8	823	121	162	38	96.306847	assembly
4	1	1	2	2	0	4	178	417	35	-1	
5	1	1	2	2	1	4	182	28	31	94.308899	of
5	1	1	2	2	2	42	182	50	30	94.308899	100
5	1	1	2	2	3	104	181	88	30	96.439537	Mark
5	1	1	2	2	4	204	179	84	31	93.943939	VIII
5	1	1	2	2	5	303	178	118	31	96.137573	Tanks.
