level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1047	170	-1	
2	1	1	0	0	0	9	10	1025	151	-1	
3	1	1	1	0	0	9	10	1025	151	-1	
4	1	1	1	1	0	11	10	1021	46	-1	
5	1	1	1	1	1	11	20	62	29	96.015923	low
5	1	1	1	1	2	96	28	88	28	96.077988	gear,
5	1	1	1	1	3	209	18	81	30	96.689796	with
5	1	1	1	1	4	313	17	56	30	96.689796	the
5	1	1	1	1	5	394	15	117	38	95.897217	engine
5	1	1	1	1	6	536	18	33	26	95.897217	at
5	1	1	1	1	7	595	14	82	29	93.240723	1400
5	1	1	1	1	8	701	23	26	20	90.727493	r.
5	1	1	1	1	9	752	22	31	28	91.473549	p.
5	1	1	1	1	10	809	22	53	28	92.226456	m.,
5	1	1	1	1	11	885	11	57	31	93.267960	the
5	1	1	1	1	12	966	10	66	30	92.645035	for-
4	1	1	1	2	0	9	63	1021	45	-1	
5	1	1	1	2	1	9	72	93	29	96.853119	ward
5	1	1	1	2	2	125	71	100	37	95.983040	speed
5	1	1	1	2	3	249	70	27	30	95.983040	is
5	1	1	1	2	4	301	70	51	29	96.842628	1.4
5	1	1	1	2	5	375	69	93	29	96.609116	miles
5	1	1	1	2	6	493	77	58	28	95.618286	per
5	1	1	1	2	7	576	67	102	36	96.627586	hour;
5	1	1	1	2	8	704	65	35	30	96.703003	in
5	1	1	1	2	9	762	64	81	38	96.816689	high
5	1	1	1	2	10	867	73	88	28	96.072235	gear,
5	1	1	1	2	11	980	63	50	30	96.952110	5.2
4	1	1	1	3	0	12	116	1022	45	-1	
5	1	1	1	3	1	12	124	93	30	95.160728	miles
5	1	1	1	3	2	129	134	59	27	96.485825	per
5	1	1	1	3	3	211	123	94	29	96.496880	hour.
5	1	1	1	3	4	353	122	68	29	95.839668	The
5	1	1	1	3	5	444	120	147	38	96.460655	gasoline
5	1	1	1	3	6	615	118	122	38	96.112206	supply
5	1	1	1	3	7	761	117	35	30	96.871857	of
5	1	1	1	3	8	821	117	60	29	95.936844	150
5	1	1	1	3	9	906	116	128	38	96.758522	gallons
