level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1054	2551	-1	
2	1	1	0	0	0	11	4	1035	2547	-1	
3	1	1	1	0	0	11	4	1031	252	-1	
4	1	1	1	1	0	12	4	1029	48	-1	
5	1	1	1	1	1	12	24	111	19	95.386673	armor
5	1	1	1	1	2	146	14	91	37	95.386673	plate
5	1	1	1	1	3	261	14	67	30	96.225769	and
5	1	1	1	1	4	352	14	98	37	94.591248	angle
5	1	1	1	1	5	475	14	81	38	96.340637	iron,
5	1	1	1	1	6	581	14	139	30	96.356934	secured
5	1	1	1	1	7	742	13	153	37	96.479202	together
5	1	1	1	1	8	918	4	53	47	92.287262	by
5	1	1	1	1	9	986	23	55	27	92.287262	ap-
4	1	1	1	2	0	11	66	1030	39	-1	
5	1	1	1	2	1	11	67	226	38	96.518341	proximately
5	1	1	1	2	2	256	67	92	38	96.253914	8,000
5	1	1	1	2	3	369	67	95	29	96.543404	11-16
5	1	1	1	2	4	483	67	78	30	92.932358	inch
5	1	1	1	2	5	579	67	168	30	92.932358	rivets—a
5	1	1	1	2	6	765	66	57	38	96.218010	job
5	1	1	1	2	7	841	66	35	30	96.575050	of
5	1	1	1	2	8	894	66	147	38	95.283432	riveting
4	1	1	1	3	0	11	119	1030	38	-1	
5	1	1	1	3	1	11	119	176	38	94.940353	requiring
5	1	1	1	3	2	213	123	95	34	90.816940	great
5	1	1	1	3	3	335	130	75	20	94.771141	care
5	1	1	1	3	4	436	120	36	29	95.389709	in
5	1	1	1	3	5	498	130	102	27	96.886978	many
5	1	1	1	3	6	627	129	98	20	96.165909	cases.
5	1	1	1	3	7	774	119	68	30	94.559052	The
5	1	1	1	3	8	869	129	78	20	96.109055	man
5	1	1	1	3	9	974	119	67	30	96.436653	and
4	1	1	1	4	0	12	172	1030	37	-1	
5	1	1	1	4	1	12	172	141	30	89.883568	officer’s
5	1	1	1	4	2	175	176	128	26	96.523529	turrets
5	1	1	1	4	3	327	182	56	20	96.349632	are
5	1	1	1	4	4	404	172	57	30	96.877647	the
5	1	1	1	4	5	484	173	121	29	96.182175	second
5	1	1	1	4	6	627	172	125	37	92.923431	largest
5	1	1	1	4	7	776	172	266	30	91.122513	sub-assemblies
4	1	1	1	5	0	11	225	223	31	-1	
5	1	1	1	5	1	11	236	42	19	96.881577	on
5	1	1	1	5	2	69	225	57	31	96.558815	the
5	1	1	1	5	3	142	226	92	30	95.763107	tank.
3	1	1	2	0	0	281	293	496	43	-1	
4	1	1	2	1	0	281	293	496	43	-1	
5	1	1	2	1	1	281	293	140	43	95.969078	Engine
5	1	1	2	1	2	445	294	118	30	96.874557	Room
5	1	1	2	1	3	587	293	190	42	96.458992	Assembly
3	1	1	3	0	0	13	355	1028	202	-1	
4	1	1	3	1	0	57	355	983	39	-1	
5	1	1	3	1	1	57	356	68	30	95.509781	The
5	1	1	3	1	2	152	356	137	38	96.590645	placing
5	1	1	3	1	3	317	356	36	30	96.590645	of
5	1	1	3	1	4	379	356	57	30	95.916908	the
5	1	1	3	1	5	463	356	235	30	94.590012	transmission
5	1	1	3	1	6	726	356	130	30	96.288597	follows
5	1	1	3	1	7	883	356	57	30	96.627785	the
5	1	1	3	1	8	967	355	73	30	95.387199	hull
4	1	1	3	2	0	14	408	1027	39	-1	
5	1	1	3	2	1	14	409	172	38	95.945740	assembly.
5	1	1	3	2	2	232	409	67	30	94.309021	The
5	1	1	3	2	3	319	412	108	27	96.463776	motor
5	1	1	3	2	4	447	409	81	30	96.792786	then
5	1	1	3	2	5	549	409	140	37	95.808617	follows,
5	1	1	3	2	6	711	408	199	38	95.306000	connecting
5	1	1	3	2	7	930	411	34	27	96.280945	to
5	1	1	3	2	8	985	408	56	30	96.280945	the
4	1	1	3	3	0	13	461	1027	38	-1	
5	1	1	3	3	1	13	462	234	30	96.746765	transmission
5	1	1	3	3	2	267	462	43	37	96.807014	by
5	1	1	3	3	3	330	472	113	19	96.375191	means
5	1	1	3	3	4	464	461	35	30	96.233818	of
5	1	1	3	3	5	519	462	187	37	93.260986	compound
5	1	1	3	3	6	729	462	109	29	53.618473	elutch
5	1	1	3	3	7	869	461	171	38	24.189995	(epicyclie
4	1	1	3	4	0	14	515	405	42	-1	
5	1	1	3	4	1	14	515	113	38	95.862488	type).
3	1	1	4	0	0	15	567	1027	91	-1	
4	1	1	4	1	0	60	567	982	38	-1	
5	1	1	4	1	1	60	567	68	31	94.793427	The
5	1	1	4	1	2	155	567	131	38	95.792786	cooling
5	1	1	4	1	3	313	571	133	34	96.007797	system,
5	1	1	4	1	4	475	567	183	38	96.020584	consisting
5	1	1	4	1	5	686	567	35	30	96.020584	of
5	1	1	4	1	6	749	567	161	38	95.981819	radiator,
5	1	1	4	1	7	939	571	103	26	96.768845	water
4	1	1	4	2	0	15	620	944	38	-1	
5	1	1	4	2	1	15	621	93	37	92.938942	tank,
5	1	1	4	2	2	128	620	124	31	62.097630	sirocco
5	1	1	4	2	3	271	620	62	30	95.900764	fan
5	1	1	4	2	4	353	621	67	29	96.449265	and
5	1	1	4	2	5	439	620	57	30	95.781960	fan
5	1	1	4	2	6	520	621	104	37	96.399475	drive,
5	1	1	4	2	7	648	621	24	29	96.809021	is
5	1	1	4	2	8	692	624	78	26	96.809021	next
5	1	1	4	2	9	793	620	166	30	95.281517	installed.
3	1	1	5	0	0	60	672	917	39	-1	
4	1	1	5	1	0	60	672	917	39	-1	
5	1	1	5	1	1	60	673	68	30	95.941193	The
5	1	1	5	1	2	150	673	168	30	96.053955	electrical
5	1	1	5	1	3	339	673	194	38	95.668762	equipment
5	1	1	5	1	4	556	672	139	39	96.515976	follows,
5	1	1	5	1	5	719	673	183	37	94.901619	consisting
5	1	1	5	1	6	925	673	52	30	89.977638	of:
3	1	1	6	0	0	60	742	776	39	-1	
4	1	1	6	1	0	60	742	776	39	-1	
5	1	1	6	1	1	60	742	71	31	93.096764	One
5	1	1	6	1	2	152	743	124	30	81.687851	12-volt
5	1	1	6	1	3	297	746	187	35	96.290184	generator,
5	1	1	6	1	4	505	743	83	30	96.895439	used
5	1	1	6	1	5	608	742	54	30	96.710068	for
5	1	1	6	1	6	683	743	153	37	96.360970	ignition,
3	1	1	7	0	0	18	786	1024	83	-1	
4	1	1	7	1	0	61	786	981	38	-1	
5	1	1	7	1	1	61	787	77	30	93.219437	Two
5	1	1	7	1	2	171	787	102	30	90.978371	6-volt
5	1	1	7	1	3	304	790	204	34	96.159752	generators,
5	1	1	7	1	4	540	787	82	30	96.597168	used
5	1	1	7	1	5	654	786	54	30	96.836510	for
5	1	1	7	1	6	739	787	112	37	59.759132	lights,
5	1	1	7	1	7	883	786	159	31	96.491989	batteries
4	1	1	7	2	0	18	831	202	38	-1	
5	1	1	7	2	1	18	831	67	30	83.596680	and
5	1	1	7	2	2	108	831	112	38	83.596680	spark,
3	1	1	8	0	0	61	874	574	38	-1	
4	1	1	8	1	0	61	874	574	38	-1	
5	1	1	8	1	1	61	875	77	30	86.824028	Two
5	1	1	8	1	2	162	875	125	30	90.269272	12-volt
5	1	1	8	1	3	310	878	133	34	96.548248	storage
5	1	1	8	1	4	465	874	170	38	95.831612	batteries,
3	1	1	9	0	0	63	918	509	38	-1	
4	1	1	9	1	0	63	918	509	38	-1	
5	1	1	9	1	1	63	918	71	31	92.789185	One
5	1	1	9	1	2	154	919	103	30	92.122986	6-volt
5	1	1	9	1	3	276	922	133	34	96.679955	storage
5	1	1	9	1	4	428	919	144	37	95.178627	battery.
3	1	1	10	0	0	18	970	1026	295	-1	
4	1	1	10	1	0	61	970	982	40	-1	
5	1	1	10	1	1	61	971	48	31	96.464684	At
5	1	1	10	1	2	130	972	68	30	96.175545	this
5	1	1	10	1	3	220	972	80	30	95.749222	time
5	1	1	10	1	4	324	972	44	29	95.490143	all
5	1	1	10	1	5	390	971	122	38	95.641747	wiring
5	1	1	10	1	6	534	981	176	29	96.058395	necessary
5	1	1	10	1	7	732	971	55	29	96.570999	for
5	1	1	10	1	8	810	971	55	30	96.765442	the
5	1	1	10	1	9	887	970	156	38	67.338600	lighting,
4	1	1	10	2	0	19	1024	1025	38	-1	
5	1	1	10	2	1	19	1024	144	38	96.057198	ignition
5	1	1	10	2	2	183	1025	66	29	96.057198	and
5	1	1	10	2	3	269	1024	130	30	94.083801	control
5	1	1	10	2	4	418	1024	28	30	94.083801	is
5	1	1	10	2	5	464	1027	63	35	96.225372	put
5	1	1	10	2	6	546	1024	35	29	95.523590	in
5	1	1	10	2	7	601	1024	103	37	95.523590	place.
5	1	1	10	2	8	749	1024	104	29	93.163902	These
5	1	1	10	2	9	871	1024	97	29	95.919151	wires
5	1	1	10	2	10	989	1033	55	20	96.712830	are
4	1	1	10	3	0	19	1076	1024	38	-1	
5	1	1	10	3	1	19	1077	45	29	95.481400	all
5	1	1	10	3	2	87	1087	66	19	95.925148	run
5	1	1	10	3	3	175	1077	148	37	95.866211	through
5	1	1	10	3	4	346	1076	132	31	95.866211	flexible
5	1	1	10	3	5	501	1077	139	30	95.838348	conduit
5	1	1	10	3	6	664	1076	55	30	96.077950	for
5	1	1	10	3	7	742	1076	189	38	96.606018	protection
5	1	1	10	3	8	955	1076	88	30	96.130203	from
4	1	1	10	4	0	19	1128	1025	39	-1	
5	1	1	10	4	1	19	1128	60	31	96.125320	fire
5	1	1	10	4	2	98	1129	67	30	96.125320	and
5	1	1	10	4	3	185	1129	139	37	95.674271	damage
5	1	1	10	4	4	344	1130	43	37	96.655922	by
5	1	1	10	4	5	405	1129	147	38	94.564407	walking
5	1	1	10	4	6	571	1139	41	20	95.583145	on
5	1	1	10	4	7	631	1129	91	30	95.146271	them
5	1	1	10	4	8	742	1139	36	19	95.146271	or
5	1	1	10	4	9	797	1129	44	37	96.327690	by
5	1	1	10	4	10	860	1129	131	37	90.733788	coming
5	1	1	10	4	11	1010	1129	34	29	96.629578	in
4	1	1	10	5	0	19	1181	1024	38	-1	
5	1	1	10	5	1	19	1185	132	27	96.433983	contact
5	1	1	10	5	2	173	1181	79	30	96.470718	with
5	1	1	10	5	3	276	1182	98	30	96.545540	metal
5	1	1	10	5	4	400	1185	94	34	96.232048	parts
5	1	1	10	5	5	517	1182	101	30	96.232048	about
5	1	1	10	5	6	640	1182	57	30	96.920174	the
5	1	1	10	5	7	719	1185	107	26	95.163475	motor
5	1	1	10	5	8	848	1182	67	30	86.772171	and
5	1	1	10	5	9	937	1185	106	27	86.772171	trans-
4	1	1	10	6	0	18	1234	146	31	-1	
5	1	1	10	6	1	18	1234	146	31	95.185318	mission.
3	1	1	11	0	0	19	1287	1026	449	-1	
4	1	1	11	1	0	64	1287	979	38	-1	
5	1	1	11	1	1	64	1287	68	30	93.065643	The
5	1	1	11	1	2	157	1287	110	37	96.548569	petrol
5	1	1	11	1	3	293	1288	66	29	96.403717	and
5	1	1	11	1	4	386	1287	49	30	96.708969	air
5	1	1	11	1	5	462	1297	155	28	96.611458	pressure
5	1	1	11	1	6	642	1290	141	35	96.374985	systems
5	1	1	11	1	7	808	1297	56	20	96.701942	are
5	1	1	11	1	8	889	1287	81	30	92.879646	then
5	1	1	11	1	9	996	1287	47	30	92.480721	in-
4	1	1	11	2	0	20	1339	1024	38	-1	
5	1	1	11	2	1	20	1340	131	30	94.507607	stalled.
5	1	1	11	2	2	203	1340	68	29	94.507607	The
5	1	1	11	2	3	298	1340	107	37	96.534019	petrol
5	1	1	11	2	4	435	1343	132	34	96.401207	system,
5	1	1	11	2	5	597	1339	183	38	93.948631	consisting
5	1	1	11	2	6	808	1339	36	30	96.799652	of
5	1	1	11	2	7	870	1340	94	30	93.036339	three
5	1	1	11	2	8	992	1340	52	29	91.875259	50-
4	1	1	11	3	0	21	1384	1022	46	-1	
5	1	1	11	3	1	21	1384	113	45	96.047150	gallon
5	1	1	11	3	2	151	1392	107	37	96.047150	petrol
5	1	1	11	3	3	279	1392	108	37	96.922531	tanks,
5	1	1	11	3	4	408	1392	27	29	96.984482	is
5	1	1	11	3	5	453	1392	131	30	96.717224	located
5	1	1	11	3	6	602	1392	35	29	96.147804	in
5	1	1	11	3	7	655	1392	56	30	96.147804	the
5	1	1	11	3	8	730	1402	76	20	96.391533	rear
5	1	1	11	3	9	825	1392	36	30	96.979332	of
5	1	1	11	3	10	878	1392	56	30	97.012863	the
5	1	1	11	3	11	952	1392	91	38	96.581955	tank,
4	1	1	11	4	0	21	1444	1023	38	-1	
5	1	1	11	4	1	21	1444	83	30	96.160965	back
5	1	1	11	4	2	128	1444	35	30	96.787872	of
5	1	1	11	4	3	185	1444	56	30	96.083237	the
5	1	1	11	4	4	266	1444	119	38	96.567162	engine
5	1	1	11	4	5	409	1454	101	27	96.022957	room,
5	1	1	11	4	6	536	1445	67	29	95.247963	and
5	1	1	11	4	7	627	1444	27	30	96.090088	is
5	1	1	11	4	8	677	1445	175	37	96.377922	protected
5	1	1	11	4	9	877	1444	89	31	96.310921	from
5	1	1	11	4	10	988	1445	56	30	96.511452	the
4	1	1	11	5	0	21	1496	1024	40	-1	
5	1	1	11	5	1	21	1496	87	31	96.590492	sides
5	1	1	11	5	2	134	1497	36	29	96.212021	of
5	1	1	11	5	3	193	1497	57	30	96.212021	the
5	1	1	11	5	4	275	1497	83	30	95.984482	tank
5	1	1	11	5	5	385	1498	41	36	96.800995	by
5	1	1	11	5	6	452	1507	113	20	96.533646	means
5	1	1	11	5	7	591	1497	35	29	95.731651	of
5	1	1	11	5	8	652	1498	94	29	95.815559	wood
5	1	1	11	5	9	771	1497	145	38	91.974739	packing
5	1	1	11	5	10	942	1498	103	38	91.974739	strips
4	1	1	11	6	0	22	1549	1023	39	-1	
5	1	1	11	6	1	22	1550	140	29	96.138016	covered
5	1	1	11	6	2	183	1549	82	30	96.138016	with
5	1	1	11	6	3	287	1550	72	30	95.262497	felt.
5	1	1	11	6	4	406	1550	68	29	94.254601	The
5	1	1	11	6	5	496	1550	73	29	95.989815	flow
5	1	1	11	6	6	593	1550	35	29	95.989815	of
5	1	1	11	6	7	650	1550	148	37	96.667000	gasoline
5	1	1	11	6	8	820	1551	26	29	96.227837	is
5	1	1	11	6	9	870	1551	175	37	95.083336	regulated
4	1	1	11	7	0	21	1597	1024	42	-1	
5	1	1	11	7	1	21	1602	148	37	95.741653	through
5	1	1	11	7	2	191	1612	18	19	92.958771	a
5	1	1	11	7	3	231	1597	363	42	90.257164	pressure-regulating
5	1	1	11	7	4	616	1603	82	29	96.282249	tank
5	1	1	11	7	5	721	1603	128	29	95.493828	located
5	1	1	11	7	6	874	1603	71	36	95.520210	just
5	1	1	11	7	7	968	1613	77	20	95.520210	over
4	1	1	11	8	0	22	1654	1023	38	-1	
5	1	1	11	8	1	22	1654	56	29	96.624908	the
5	1	1	11	8	2	107	1657	117	26	96.221771	motor.
5	1	1	11	8	3	279	1654	79	29	96.536263	This
5	1	1	11	8	4	389	1654	200	37	95.427299	practically
5	1	1	11	8	5	619	1655	178	36	96.075752	completes
5	1	1	11	8	6	828	1655	55	29	93.141174	the
5	1	1	11	8	7	915	1655	130	37	91.487999	engine-
4	1	1	11	9	0	19	1706	390	30	-1	
5	1	1	11	9	1	19	1715	92	20	90.723465	room
5	1	1	11	9	2	135	1706	274	30	90.620636	sub-assemblies.
3	1	1	12	0	0	150	1767	716	50	-1	
4	1	1	12	1	0	201	1773	665	44	-1	
5	1	1	12	1	1	201	1773	456	43	90.729141	Fighting-Compartment
5	1	1	12	1	2	679	1775	187	42	96.689972	Assembly
3	1	1	13	0	0	21	1835	1024	448	-1	
4	1	1	13	1	0	66	1835	978	37	-1	
5	1	1	13	1	1	66	1836	68	29	96.244972	The
5	1	1	13	1	2	156	1835	188	37	92.489159	remaining
5	1	1	13	1	3	367	1836	265	30	92.280289	sub-assemblies
5	1	1	13	1	4	655	1847	56	19	96.558754	are
5	1	1	13	1	5	733	1837	80	29	96.936867	then
5	1	1	13	1	6	837	1837	152	30	96.441353	confined
5	1	1	13	1	7	1008	1840	36	27	96.923759	to
4	1	1	13	2	0	21	1887	1023	38	-1	
5	1	1	13	2	1	21	1887	57	30	95.943268	the
5	1	1	13	2	2	103	1887	144	37	84.868385	fighting
5	1	1	13	2	3	274	1891	254	34	96.062241	compartment,
5	1	1	13	2	4	555	1888	107	29	96.875175	which
5	1	1	13	2	5	688	1889	139	29	96.232224	consists
5	1	1	13	2	6	854	1889	35	29	96.545013	in
5	1	1	13	2	7	914	1889	57	30	92.787491	the
