level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1045	1333	-1	
2	1	1	0	0	0	0	30	1015	1301	-1	
3	1	1	1	0	0	0	30	994	34	-1	
4	1	1	1	1	0	0	30	994	34	-1	
5	1	1	1	1	1	0	30	79	31	89.337929	fanks
5	1	1	1	1	2	95	30	61	31	94.663246	had
5	1	1	1	1	3	173	34	33	28	94.663246	to
5	1	1	1	1	4	224	32	38	30	96.619568	be
5	1	1	1	1	5	282	32	262	31	96.045914	manufactured
5	1	1	1	1	6	564	35	33	28	96.688004	at
5	1	1	1	1	7	617	32	68	31	96.567581	this
5	1	1	1	1	8	705	33	141	31	96.404442	arsenal.
5	1	1	1	1	9	891	34	103	30	89.177269	These
3	1	1	2	0	0	0	84	1015	91	-1	
4	1	1	2	1	0	0	84	1015	39	-1	
5	1	1	2	1	1	0	84	141	31	92.252594	consisted
5	1	1	2	1	2	158	85	34	30	95.761375	of
5	1	1	2	1	3	209	85	80	30	95.761375	such
5	1	1	2	1	4	307	89	95	34	95.824989	parts
5	1	1	2	1	5	421	96	35	19	95.824989	as
5	1	1	2	1	6	475	86	130	29	96.022095	outside
5	1	1	2	1	7	623	86	69	29	96.388847	tool
5	1	1	2	1	8	710	86	109	37	93.267609	boxes,
5	1	1	2	1	9	839	86	155	31	90.180237	unditch-
5	1	1	2	1	10	1013	100	2	2	90.050217	-
4	1	1	2	2	0	0	124	995	55	-1	
5	1	1	2	2	1	0	135	45	39	93.807335	ing
5	1	1	2	2	2	61	137	111	38	95.173439	angles,
5	1	1	2	2	3	191	138	99	29	96.782867	roller
5	1	1	2	2	4	309	124	181	55	93.115768	sprockets,
5	1	1	2	2	5	510	138	85	37	96.210617	roof,
5	1	1	2	2	6	616	138	80	37	95.163651	side,
5	1	1	2	2	7	717	138	95	30	95.163651	front
5	1	1	2	2	8	833	139	67	30	96.125702	and
5	1	1	2	2	9	919	149	76	20	97.001038	rear
3	1	1	3	0	0	0	188	994	41	-1	
4	1	1	3	1	0	0	188	994	41	-1	
5	1	1	3	1	1	0	188	103	39	78.344215	towing
5	1	1	3	1	2	123	189	163	38	93.252045	brackets;
5	1	1	3	1	3	309	199	145	28	91.750610	sponson
5	1	1	3	1	4	474	190	119	37	96.496536	hinges
5	1	1	3	1	5	615	200	43	20	95.950111	on
5	1	1	3	1	6	679	190	83	38	93.295746	hull,
5	1	1	3	1	7	787	191	207	38	91.921455	engine-con-
3	1	1	4	0	0	0	241	995	41	-1	
4	1	1	4	1	0	0	241	995	41	-1	
5	1	1	4	1	1	0	241	52	30	95.885063	trol
5	1	1	4	1	2	72	242	79	37	95.885063	rods,
5	1	1	4	1	3	173	242	132	38	95.715576	battery
5	1	1	4	1	4	329	242	88	30	95.285568	shelf
5	1	1	4	1	5	440	243	173	38	95.285568	assembly,
5	1	1	4	1	6	638	243	84	30	95.947723	shell
5	1	1	4	1	7	744	244	106	38	93.249046	tubes,
5	1	1	4	1	8	876	245	119	30	84.851936	combi-
3	1	1	5	0	0	0	294	995	41	-1	
4	1	1	5	1	0	0	294	995	41	-1	
5	1	1	5	1	1	0	294	97	31	95.868614	nation
5	1	1	5	1	2	116	298	55	35	95.559097	tap
5	1	1	5	1	3	194	295	119	38	93.276299	bodies,
5	1	1	5	1	4	337	296	208	37	92.716072	petrol-tank
5	1	1	5	1	5	567	296	155	38	96.391487	packing,
5	1	1	5	1	6	746	297	97	30	93.293312	track
5	1	1	5	1	7	866	297	129	38	92.698250	adjust-
3	1	1	6	0	0	0	346	812	40	-1	
4	1	1	6	1	0	0	346	812	40	-1	
5	1	1	6	1	1	0	346	46	39	95.119377	ing
5	1	1	6	1	2	62	357	115	28	88.007118	screws,
5	1	1	6	1	3	196	348	94	37	96.596603	bolts,
5	1	1	6	1	4	310	351	89	35	96.180244	nuts,
5	1	1	6	1	5	420	358	60	27	96.669769	cap
5	1	1	6	1	6	501	358	119	21	91.668045	screws
5	1	1	6	1	7	640	349	67	29	95.549065	and
5	1	1	6	1	8	727	349	85	37	95.549065	pins.
3	1	1	7	0	0	0	406	997	616	-1	
4	1	1	7	1	0	34	406	963	39	-1	
5	1	1	7	1	1	34	406	36	30	94.723160	In
5	1	1	7	1	2	86	407	50	30	96.100975	the
5	1	1	7	1	3	154	408	233	31	96.192581	manufacture
5	1	1	7	1	4	407	409	36	30	96.398392	of
5	1	1	7	1	5	461	409	92	30	96.671638	these
5	1	1	7	1	6	573	409	96	30	96.731300	items
5	1	1	7	1	7	689	410	25	29	96.300285	it
5	1	1	7	1	8	734	419	67	20	95.837585	was
5	1	1	7	1	9	820	419	177	26	95.837585	necessary
4	1	1	7	2	0	0	459	996	40	-1	
5	1	1	7	2	1	0	461	27	27	96.023483	to
5	1	1	7	2	2	42	459	83	30	96.804329	make
5	1	1	7	2	3	142	460	118	37	96.142952	special
5	1	1	7	2	4	277	461	94	38	95.971306	tools,
5	1	1	7	2	5	390	461	68	38	94.760849	jigs
5	1	1	7	2	6	476	462	67	29	96.622169	and
5	1	1	7	2	7	561	461	140	31	96.559517	fixtures
5	1	1	7	2	8	720	461	34	30	96.559517	in
5	1	1	7	2	9	773	462	98	29	96.120728	order
5	1	1	7	2	10	889	464	34	27	96.555595	to
5	1	1	7	2	11	942	464	54	34	96.881485	get
4	1	1	7	3	0	0	512	996	40	-1	
5	1	1	7	3	1	0	512	186	37	93.675102	production.
5	1	1	7	3	2	229	513	32	30	95.186264	It
5	1	1	7	3	3	281	513	108	38	96.254669	might
5	1	1	7	3	4	409	514	39	30	96.687988	be
5	1	1	7	3	5	469	514	75	30	96.544037	well
5	1	1	7	3	6	564	517	34	27	96.544037	to
5	1	1	7	3	7	621	517	94	35	96.252136	state,
5	1	1	7	3	8	738	514	161	38	96.292061	however,
5	1	1	7	3	9	921	514	75	30	86.515091	that.
