level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1049	2913	-1	
2	1	1	0	0	0	2	10	1018	2903	-1	
3	1	1	1	0	0	2	10	1015	611	-1	
4	1	1	1	1	0	2	10	1014	38	-1	
5	1	1	1	1	1	2	13	35	29	96.506325	of
5	1	1	1	1	2	56	13	67	30	96.653008	this
5	1	1	1	1	3	142	13	91	30	96.348656	tank.
5	1	1	1	1	4	279	12	67	31	94.967590	The
5	1	1	1	1	5	366	15	91	28	93.052017	most.
5	1	1	1	1	6	471	12	126	30	93.052017	serious
5	1	1	1	1	7	617	11	132	31	96.171974	trouble
5	1	1	1	1	8	770	10	181	38	95.907249	developed
5	1	1	1	1	9	971	10	45	37	95.914825	by
4	1	1	1	2	0	2	62	1012	40	-1	
5	1	1	1	2	1	2	65	66	30	96.681770	this
5	1	1	1	2	2	84	68	65	27	96.194702	test
5	1	1	1	2	3	165	75	67	20	95.756874	was
5	1	1	1	2	4	248	65	56	30	96.436813	the
5	1	1	1	2	5	321	64	170	38	96.501259	stripping
5	1	1	1	2	6	509	64	36	30	96.848335	of
5	1	1	1	2	7	560	64	55	31	96.215157	the
5	1	1	1	2	8	632	64	90	30	96.265793	teeth
5	1	1	1	2	9	738	63	35	30	96.838493	in
5	1	1	1	2	10	790	63	56	30	96.958855	the
5	1	1	1	2	11	863	62	151	38	96.915672	sprocket
4	1	1	1	3	0	3	114	1013	40	-1	
5	1	1	1	3	1	3	117	100	29	91.053131	roller
5	1	1	1	3	2	131	117	142	37	91.053131	pinions.
5	1	1	1	3	3	325	117	32	29	95.937233	It
5	1	1	1	3	4	387	117	67	29	95.682068	also
5	1	1	1	3	5	483	116	181	38	96.818069	developed
5	1	1	1	3	6	690	116	75	30	96.532074	that
5	1	1	1	3	7	792	115	56	30	96.592422	the
5	1	1	1	3	8	878	114	138	30	96.589951	exhaust
4	1	1	1	4	0	3	166	1012	40	-1	
5	1	1	1	4	1	3	172	122	34	95.980949	system
5	1	1	1	4	2	143	168	158	37	95.707253	designed
5	1	1	1	4	3	320	169	66	29	96.121101	and
5	1	1	1	4	4	404	168	34	29	96.121101	in
5	1	1	1	4	5	456	178	57	20	96.385269	use
5	1	1	1	4	6	531	178	41	19	95.628647	on
5	1	1	1	4	7	590	167	67	31	95.628647	this
5	1	1	1	4	8	675	168	83	30	96.407356	tank
5	1	1	1	4	9	775	177	67	20	96.664215	was
5	1	1	1	4	10	859	169	59	28	93.222870	not
5	1	1	1	4	11	935	166	80	30	90.934013	suit-
4	1	1	1	5	0	4	218	1012	39	-1	
5	1	1	1	5	1	4	220	88	37	95.966499	able;
5	1	1	1	5	2	117	220	74	30	96.173439	that
5	1	1	1	5	3	214	220	56	30	96.345497	the
5	1	1	1	5	4	294	220	118	30	96.204063	Zenith
5	1	1	1	5	5	436	220	194	30	96.181946	carburetor
5	1	1	1	5	6	655	219	179	38	96.290237	originally
5	1	1	1	5	7	859	218	157	38	96.015579	designed
4	1	1	1	6	0	3	270	1013	39	-1	
5	1	1	1	6	1	3	272	55	29	96.562889	for
5	1	1	1	6	2	83	272	57	30	93.234169	the
5	1	1	1	6	3	167	271	205	38	46.032566	12-cylinder
5	1	1	1	6	4	398	271	139	38	96.602631	Liberty
5	1	1	1	6	5	562	274	107	27	96.603630	motor
5	1	1	1	6	6	696	271	35	29	96.445534	of
5	1	1	1	6	7	757	271	56	30	96.750687	the
5	1	1	1	6	8	840	270	176	38	96.630035	aeroplane
4	1	1	1	7	0	4	323	1011	39	-1	
5	1	1	1	7	1	4	323	116	39	96.321655	design
5	1	1	1	7	2	146	333	65	21	96.408615	was
5	1	1	1	7	3	237	327	57	26	96.131989	not
5	1	1	1	7	4	321	323	142	31	96.596497	suitable
5	1	1	1	7	5	489	323	54	30	96.124832	for
5	1	1	1	7	6	569	323	67	30	96.651505	this
5	1	1	1	7	7	662	323	83	30	95.949371	class
5	1	1	1	7	8	772	323	36	29	96.391953	of
5	1	1	1	7	9	833	323	91	29	96.662498	work
5	1	1	1	7	10	951	323	64	29	96.831818	and
4	1	1	1	8	0	3	375	1013	37	-1	
5	1	1	1	8	1	3	377	108	29	96.145882	would
5	1	1	1	8	2	141	376	79	30	96.930634	have
5	1	1	1	8	3	246	379	31	26	96.531792	to
5	1	1	1	8	4	305	376	36	29	96.689270	be
5	1	1	1	8	5	368	376	151	36	95.434784	replaced
5	1	1	1	8	6	547	375	77	30	96.493317	with
5	1	1	1	8	7	652	386	18	19	96.607635	a
5	1	1	1	8	8	695	375	73	30	92.883949	Ball
5	1	1	1	8	9	797	375	25	30	92.883949	&
5	1	1	1	8	10	851	375	72	29	92.072769	Ball
5	1	1	1	8	11	949	385	67	19	38.756771	ear-
4	1	1	1	9	0	3	425	1013	40	-1	
5	1	1	1	9	1	3	425	153	40	79.620880	buretor;
5	1	1	1	9	2	180	428	73	30	95.668686	that
5	1	1	1	9	3	275	428	56	30	96.242363	the
5	1	1	1	9	4	355	428	110	30	96.017159	V-belt
5	1	1	1	9	5	489	427	134	37	96.665489	driving
5	1	1	1	9	6	646	427	55	30	93.106834	the
5	1	1	1	9	7	723	427	123	30	50.467575	siroceo
5	1	1	1	9	8	868	437	67	19	92.942772	was
5	1	1	1	9	9	957	437	59	19	89.234375	un-
4	1	1	1	10	0	4	478	1013	39	-1	
5	1	1	1	10	1	4	479	224	38	85.238304	satisfactory,
5	1	1	1	10	2	252	479	123	38	94.725601	calling
5	1	1	1	10	3	398	479	54	30	95.909584	for
5	1	1	1	10	4	476	489	18	20	95.968056	a
5	1	1	1	10	5	516	479	222	37	95.968056	replacement
5	1	1	1	10	6	760	478	82	30	96.577103	with
5	1	1	1	10	7	866	488	18	20	93.147560	a
5	1	1	1	10	8	907	478	110	30	91.917328	3-inch
4	1	1	1	11	0	2	530	1015	39	-1	
5	1	1	1	11	1	2	532	127	29	96.369255	leather
5	1	1	1	11	2	149	531	76	38	96.803444	belt,
5	1	1	1	11	3	247	531	235	37	95.997360	necessitating
5	1	1	1	11	4	503	531	55	30	96.649269	the
5	1	1	1	11	5	580	530	165	38	96.458382	changing
5	1	1	1	11	6	767	530	35	29	96.822182	of
5	1	1	1	11	7	823	530	56	30	93.109100	the
5	1	1	1	11	8	900	530	117	38	92.450951	V-pul-
4	1	1	1	12	0	3	583	616	38	-1	
5	1	1	1	12	1	3	584	69	37	91.444237	leys
5	1	1	1	12	2	92	586	34	28	96.980629	to
5	1	1	1	12	3	147	583	159	30	39.097145	cast-iron
5	1	1	1	12	4	326	583	133	38	96.494370	flanged
5	1	1	1	12	5	479	583	140	37	96.128654	pulleys.
3	1	1	2	0	0	3	635	1014	298	-1	
4	1	1	2	1	0	47	635	969	38	-1	
5	1	1	2	1	1	47	636	67	30	95.056046	The
5	1	1	2	1	2	140	635	115	38	96.617065	design
5	1	1	2	1	3	282	636	66	30	96.506912	and
5	1	1	2	1	4	373	635	154	31	96.057594	material
5	1	1	2	1	5	551	635	82	30	96.403214	used
5	1	1	2	1	6	658	635	35	29	95.872322	in
5	1	1	2	1	7	718	635	56	30	96.483513	the
5	1	1	2	1	8	800	635	109	37	96.179695	petrol
5	1	1	2	1	9	933	635	83	30	96.577377	tank
4	1	1	2	2	0	3	687	1012	31	-1	
5	1	1	2	2	1	3	689	120	29	86.514114	eaused
5	1	1	2	2	2	153	688	225	29	96.063103	considerable
5	1	1	2	2	3	408	687	131	30	95.527054	trouble
5	1	1	2	2	4	570	688	64	29	96.408531	due
5	1	1	2	2	5	663	690	34	27	96.567169	to
5	1	1	2	2	6	728	690	73	27	96.372337	rust
5	1	1	2	2	7	833	687	66	29	95.483704	and
