letter	entry	page_reference
A	Ammunition storage	184
C	Carburetor	184
C	Chain casing	185
C	Clutch assembly	185
C	Clutch shaft	188
C	Control rods	188
C	Control rods, engine	189
C	Control units, center	189
C	Control units, front	189
C	Control units, rear	190
C	Cooling system	191
C	Cooling system, engine	191
C	Cooling system, radiator	191
D	Driving sprocket chain	192
E	Engine, cam-shaft housing	192
E	Engine, cam-shaft lower shaft	196
E	Engine, crank case	196
E	Engine, crank shaft	199
E	Engine, connecting rod	199
E	Engine, cylinder	199
E	Engine, electrical equipment	200
E	Engine, flywheel	201
E	Engine, generator drive shaft	201
E	Engine, governor	201
E	Engine, oilpump	203
E	Engine, piston	203
E	Engine, supports	205
E	Engine, hand starter	205
E	Epicyclic gear	205
E	Exhaust system	209
F	Fan, bevel box	209
F	Fan, large air ducts	211
F	Fan, ventilating	211
G	Gasoline system, air pump	211
G	Gasoline system, pressure-regulating tank	213
G	Gasoline system, tanks	213
G	Gun pedestal, 6-pounder	215
H	Hull, door	215
H	Hull, floor	217
