page	part_number	quantity	description
221	M-2074	1	Splash strip on plate under driver’s turret.
221	M-2075	1	Angle bracket under driver’s turret.
221	M-2076	2	Packing piece on plate.
221	M-2077	1	Removable plate for engine room star.
221	M-2078	4	Roller support angle No. 1.
221	M-2079	4	Roller support angle No. 2.
221	M-2080	4	Roller support angle No. 3.
221	M-2081	4	Roller support angle No. 4.
221	M-2082	2	Roller support angle No. 5.
221	M-2083	4	Roller support angle No. 6.
221	M-2084	4	Roller support angle No. 7.
221	M-2085	4	Roller support angle No. 8.
221	M-2086	1	Packing piece between floor beam and plate No. 3.
221	M-2087	2	Splash angle on side plate.
221	M-2088	2	Splash angle in front of sponson.
221	M-2089	2	Splash angle in rear of sponson.
221	M-2090	2	Splash angle in front of side door
221	M-2091	2	Splash angle in rear of side door.
221	M-2092	4	Roller support angle top.
221	M-2093	2	Front wing upper plate (inside).
221	M-2094	2	Front wing lower plate (inside).
221	M-2095	2	Vertical side plate for rear mud chute.
221	M-2096	2	Side sloping plate for rear mud chute.
221	M-2097	2	Top sloping plate for rear mud chute.
221	M-2098	2	Bottom sloping plate for rear mud chute.
221	M-2099	2	Butt strap for rear mud chute.
221	M-2100	2	Angle for top and side sloping plates.
221	M-2101	2	Angle for bottom and side sloping plates.
221	M-2102	2	Top angle for side sloping plate.
221	M-2103	2	Angle for side sloping plate to hull.
221	M-2104	2	Angle for top sloping and side vertical plates.
221	M-2105	2	Angle for bottom sloping and side vertical plates.
221	M-2106	2	Top angle for top sloping plate.
221	M-2107	2	Bottom angle for bottom sloping plate.
221	M-2108	1	Port side deflector channel.
221	M-2109	1	Packing under deflector channel.
221	M-2110	1	Rear deflector channel (port).
221	M-2111	1	Rear deflector channel (starboard).
221	M-2112	2	Packing under rear deflector channels.
221	M-2113	2	Petrol tank case door ledge.
221	M-2114	1	Stern guide for haulage rope.
221	M-2115	1	Bracket for deflector plate.
221	M-2116	1	Deflector plate.
221	M-2118	1	Side angle (port).
221	M-2119	1	Side angle (starboard)
221	M-2120	1	Front strut, starboard.
221	M-2121	1	Front strut (port).
221	M-2122	1	Rear strut (starboard).
221	M-2123	1	Rear strut (port).
221	M-2124	1	Intermediate strut (starboard).
221	M-2125	1	Intermediate strut (port).
221	M-2126	1	Camouflage brackets (port sponson)
221	M-2127	1	Camouflage brackets (starboard sponson).
221	M-2128	1	Camouflage brackets, rear port.
221	M-2129	1	Camouflage brackets, rear starboard.
221	M-2130	1	Camouflage brackets, mud chute, port.
221	M-2131	1	Camouflage brackets, mud chute, starboard.
221	M-2132	1	Camouflage brackets, front, port.
221	M-2133	1	Camouflage brackets, front, starboard.
221	M-2134	2	Division plate. Tin hat compartment.
221	M-2135	1	Rear lamp bracket.
221	M-2137	1	Top plate for bulkhead.
221	M-2138	1	Center plate for bulkhead.
221	M-2139	1	Bottom plate for bulkhead.
221	M-2140	2	Side plate for bulkhead.
221	M-2141	2	Side angle for bulkhead plates.
221	M-2142	2	Vertical stiffening angle for bulkhead.
221	M-2143	1	Channel cross stiffener for bulkhead.
221	M-2144	1	Butt strap for bulkhead plates (long).
221	M-2145	2	Butt strap for bulkhead plates (short).
221	M-2146	2	Sliding door for bulkhead (access to engine room).
221	M-2147	4	Roller bracket for sliding door.
221	M-2148	4	Rollers for sliding door.
221	M-2149	4	Pin for rollers.
223	M-2150	2	Wedging strip for sliding door.
223	M-2151	3	Handle for moving door.
223	M-2152	2	Handle for locking door.
223	M-2153	2	Catch for locking door.
223	M-2154	2	Bearing for catch.
223	M-2155	2	Bottom guide for sliding door.
223	M-2156	1	Top guide for sliding door.
223	M-2157	2	Plate for machine gunner’s seat.
223	M-2158	4	Hinge for machine gunner’s seat.
223	M-2159	2	Strut for machine gunner’s seat.
223	M-2160	4	Packing for hinge for machine gunner’s seat.
223	M-2161	2	Pin for strut of machine gunner’s seat.
223	M-2162	2	Support for strut of machine gunner’s seat.
223	M-2163	4	Fulcrum bracket for strut of machine gunner’s seat.
223	M-2164	2	Catch for holding up machine gunner’s seat.
223	M-2165	2	Side guides for magnetos inspection door.
223	M-2166	1	Bottom guides for magnetos inspection door.
223	M-2167	1	Magnetos inspection door.
223	M-2168	1	Hook for holding up magnetos inspection door.
223	M-2169	2	Bracket for hook of magnetos inspection door.
223	M-2170	1	Pocket for medical outfit.
223	M-2171	1	Strap for medical outfit
223	M-2172	2	Spring for catch on main sliding doors.
223	M-2173	2	No. 5 diaphragm.
223	M-2174	2	Vertical beam inner skirting plate.
223	M-2175	2	Roller angle inner skirting plate.
223	M-2176	2	Roller angle inner skirting plate.
223	M-2177	2	Vertical butt strap rear.
223	M-2178	1	Driver’s mapboard buckle catch.
223	M-2179	1	Bracket-supporting voltmeter.
223	M-2181	1	Bracket for driver’s mapboard.
223	M-2185	2	Control-rod casing.
223	M-2186	6	Control-rod casing cleat.
223	M-2187	1	Hook for pigeon basket.
223	M-2188		
223	M-2189	2	Lamp clips (engine room).
223	M-2190	1	Lamp clips (engine room).
223	M-2191	2	Studs for holding pick.
223	M-2192	1	Rack for scraper and pinch bars.
223	M-2193	1	Rack for scraper and pinch bars.
223	M-2194	1	Stay for axe and bar rack.
223	M-2195	4	Clips for shovels.
223	M-2627	11	Swivel pin and nut for revolver hole cover L. H.
223	C138/20384	10	Cover plate for revolver hole.
223	A42/21221	12	Operating handle.
223	C42/21221	12	Thackray washer.
223	D42/21221	12	Spring for handle.
223	E42/21221	12	Grover washer.
223	F42/21221	24	Stop pin for cover.
223	M-2628	2	Cover for hole in bottom of sponson.
223	M-2629	2	Arrgt. of hole in bottom of sponson.
223	M-2630	11	Arrgt. of revolver hole.
223	B42/21221	1	Swivel pin and nut right hand for rear of turret.
223	1 by 90	22	Cover plate.
223	2 by 90	22	Revolving plate.
223	3 by 90	22	Packing plate.
223	4 by 90	22	Operating knob.
223	5 by 90	22	Padded head rest.
223	6 by 90	22	Operating belt.
223	7 by 90	22	Peg for operating belt.
223	8 by 90	22	Sheath for spring.
223	9 by 90	22	Spring.
223	10 by 90	44	½-inch bolts, 1 15/16 inches long, heads 5/16 inch thick
223	11 by 90	44	⅜-inch screws, ¾ inch long.
223	12 by 90	44	⅜-inch rivets.
223	14 by 90	22	Poaking piece for cover plate.
225	M-1892	2	Butt strap in roof, forward.
225	M-1893	2	Connecting angle, front sloping plate to roof.
225	M-1894	2	Butt strap shaft turret.
225	M-1895	1	Connecting angle bulkhead to roof.
225	M-1896	1	Connecting angle bulkhead to roof shaft bulkhead
225	M-1897	2	Roof angle shaft front mud chute.
225	M-1898	1	Removable roof beam over engine.
225	M-1899	1	Roof beambat side of removable beam.
225	M-1900	1	Channel roof beam, front of rear louver.
225	M-1901	2	Roof plates over wings, front.
225	M-1902	2	Roof plates over driver.
225	M-1903	1	Roof plates over shaft turret.
225	M-1904	1	Roof plates under track, back starboard side.
225	M-1905	1	Roof plates in front of front louver.
225	M-1906	2	Roof plates packing in way of front mud chute.
225	M-1908	1	Roof plates detachable over engine.
225	M-1909	1	Roof plates in front of back louver.
225	M-1910	1	Roof plates packing piece shaft rear louver.
225	M-1911	1	Roof plates top of petrol tank.
225	M-1912	1	Roof plates side of back louver.
225	M-1913	1	Roof angle at back plate.
225	M-1914	2	Roof plate at rear mud chute.
225	M-1915	1	Roof plate under track, back, port side.
225	M-1916	2	Packing strap above roller pinion.
225	M-1917	2	Rear roof plate under track.
225	M-1918	2	Roof plate at rear of rear mud chute.
225	M-1919	1	Butt strap port side rear louver.
225	M-1920	1	Packing strip at rear of petrol tank roof.
225	M-1921	1	Angle at side of front mud chute.
225	M-1922	2	Stiffener at side of front mud chute,
225	A-20793	4	Ball pivot ring (outer).
225	B-20793	4	Ball pivot ring (inner).
225	C-20793	7	Gun pivot ball.
225	D-20793	4	Fastening ring.
225	E-20793	7	Trunnion bracket and handle.
225	F-20793	7	Trunnion bracket.
225	G-20793	14	Spring for rifle clip.
225	H-20793	4	Screw for fastening ring.
225	J-20793	14	Rifle clip.
225	K-20793	4	Darlston washer.
225	K1-20793	14	Stop pin.
225	K2-20793	14	⅛-inch jack chain.
225	L-20793	4	Handle.
225	G-20793	28	Set screw (long).
225	P-20793	14	Set screw (short).
225	M-2732	2	Sponson plate (front vertical).
225	M-2733	2	Sponson plate (front lower).
225	M-2734	2	Sponson plate (front upper).
225	M-2735	1	Sponson plate side (upper starboard side).
225	M-2735	1	Sponson plate side (lower starboard side).
225	M-2737	1	Sponson plate side (starboard side).
225	M-2738	2	Sponson plate (back).
225	M-2739	1	Sponson plate (back starboard side),
225	M-2740	2	Sponson plate (sloping bottom).
225	M-2741	1	Sponson plate (side sloping starboard side).
225	M-2742	1	Sponson wing plate (back, starboard side).
225	M-2743	1	Sponson wing plate (front, starboard side).
225	M-2744	1	Sponson wing plate (back, port side).
225	M-2745	1	Sponson wing plate (front port side).
225	M-2746	1	Sponson plate side (upper port side).
225	M-2747	1	Sponson plate side (lower port side).
225	M-2748	1	Sponson plate side (port side).
225	M-2749	1	Sponson plate side, sloping (port side).
225	M-2750	1	Sponson plate (back port side).
225	H-172/21579	5	Hotchkiss gun clip.
225	J-172/21579	3	Hotchkiss gun clip support.
225	C-45/21237	2	Clip for Hotchkiss gun barrel.
227	B-45/21237	2	Carrier for Hotchkiss gun barrel.
227	M-2437	4	Spring clip for periscope.
227	M-2756	2	Sponson roof plate.
227	M-2757	2	Sponson floor plate.
227	M-2758	1	Sponson shield plate (starboard side).
227	M-2759	1	Ditto.
227	M-2760	1	Ditto,
227	M-2761	1	Ditto.
227	M-2762	1	Ditto.
227	M-2763	1	Sponson shield plate (port side).
227	M-2764	1	Ditto.
227	M-2765	1	Ditto.
227	M-2766	1	Ditto.
227	M-2767	1	Ditto.
227	M-2768	1	Ditto.
227	M-2769	2	Sponson periscope hole cover.
227	M-2770	2	Sponson periscope hole cover pin.
227	M-2626	5	Sponson revolver hole complete.
227	M-2626	2	Sponson revolver hole complete special.
227	M-2661	7	Sponson revolving peep hole complete.
227	M-2775	1	Sponson pressing for roof plate (starboard side).
227	M-2776	1	Sponson pressing for roof plate (port side).
227	M-2777	1	Sponson angle below gun shield (starboard side).
227	M-2778	1	Sponson angle below gun shield (port side).
227	M-2779	1	Sponson butt strap (starboard side).
227	M-2780	2	Sponson butt strap.
227	M-2781	2	Ditto.
227	M-2782	2	Ditto.
227	M-2783	2	Ditto.
227	M-2784	2	Ditto.
227	M-2785	2	Ditto.
227	M-2786	2	Ditto.
227	M-2787	1	Sponson butt strap (starboard side).
227	M-2788	1	Sponson butt strap (port side).
227	M-2789	1	Ditto.
227	M-2790	2	Sponson splash angle at hinge.
227	M-2791	2	Sponson splash angle at front.
227	M-2792	2	Sponson splash angle at back.
227	M-2793	2	Sponson splash angle on roof plate.
227	M-2794	2	Sponson splash angle on bottom plate.
227	M-2795	1	Sponson splash strip on front wing plate (starboard side).
227	C-42/21221	2	Thackray washer.
227	M-2791	1	Sponson splash strip for wing (port side).
227	M-2798	2	Sponson splash strip (at back).
227	M-2799	1	Sponson splash plate for back wing (starboard side).
227	M-2800	1	Sponson splash plate for front wing (starboard side).
227	M-2801	1	Sponson splash plate for back wing (port side).
227	M-2802	1	Sponson splash plate for front wing (port side).
227	M-2803	1	Sponson cleat angle for wing plate (starboard).
227	M-2804	1	Ditto.
227	M-2805	1	Sponson cleat angle for wing plate (port side).
227	M-2806	1	Sponson cleat angle for (port side).
227	M-2807	1	Ditto.
227	M-2808	1	Sponson cleat angle for wing plate (port side).
227	M-2809	2	Sponson packing strip under hinge.
227	M-2810	2	Ditto.
227	M-2811	2	Sponson strip on M-2740.
227	M-3812	2	Ditto.
227	M-2813	1	Sponson butt strap port side.
227	M-2814	4	Hinge for sponson seat.
227	M-2815	4	Ditto.
227	M-2816	4	Pin for seat hinge.
227	M-2817	4	Packing under hinge.
227	M-2818	2	Seat.
227	M-2819	2	Seat support.
227	M-2820	4	Support for periscope spring clip.
227	M-2821	2	Sponson top bracket for Hotchkiss spare barrel.
227	M-2822	2	Sponson bottom bracket for Hotchkiss spare barrel.
227	M-2823	4	Packing for Hotchkiss gun bracket.
227	M-2824	2	Sponson clip bracket for Hotchkiss gun.
227	M-2826	4	Sponson hinge.
