printed_page	letter	entry	page_reference
241		Hull, main	217
241		Hull, revolving hole	223
241		Hull, revolving peephole	223
241		Hull, roof	225
241		Hull, spherical mounting	225
241		Hull, sponsons	225
241		Hull, turret, hemispherical	229
241		Hull, turret	231
241		Hull, turret outlook	233
241	J	Jockey pulley	233
241	L	Lighting dynamo	233
241	L	Louvre, inlet	233
241	L	Louvre, outlet	233
241	O	Oil tanks	235
241	R	Road track, adjusting wheel	235
241	R	Road track, driving wheel	235
241	R	Road track, link and shoes	237
241	R	Road track, lower roller, with spring	237
241	R	Road track, lower roller, without spring	237
241	R	Road track, top roller	237
241	S	Silencer	239
241	S	Speedometer	239
241	S	Starting motor and generator	239
241	T	Towing gear	239
241	Y	Yardometer drive	239
242	A	Adjustment, brake	150
242	A	Adjustments, carburetor	76
242	A	Adjusting shaft, track	139
242	A	Adjusting the generator switch or cutout	169
242	A	Adjusting the regulator	169
242	A	Adjusting wheel, road track	138
242	A	Air-pressure gauge	53
242	A	Air-pressure system	32
242	A	Air pump	24
242	A	Air valve	75
242	A	Aligning connecting rods	94
242	A	Ammunition and armament, general description	171
242	A	Ammunition and armament specifications	171
242	A	Ammunition, machine gun	171
242	A	Assembly, cylinder	87
242	A	Assembling, oil pump	86
242	A	Assembly, oil pump	110
242	A	Assembling the cam shaft	81
242	B	Base, distributor	67
242	B	Bearings, fitting connection rod	92
242	B	Bevel box, fan	24
242	B	Bevel driver, water pump	102
242	B	Brake adjustment	150
242	B	Brake connections	149
242	B	Brake control, linkage reduction	158
242	B	Brake, track	
242	B	Breakers, synchronizing	107
242	B	Breathers, crank case	110
242	B	Brief description	11
242	B	Bulkhead door, to open	42
242	B	Bulkhead, mounted on	42
242	C	Cam shaft, assembling the	81
242	C	Cam shaft, disassembling and inspection	79
242	C	Cam shaft housing units	78
242	C	Capacity of fan	176
242	C	Carburetor	72
242	C	Carburetor adjustments	76
242	C	Carburetor description	72
242	C	Carburetor function, unusual	76
242	C	Carburetors	103
242	C	Carden brake, to adjust	150
242	C	Care, inspection and, carburetor	77
243		Care and maintenance of generator	169
243		Casing, chain	24
243		Center control rods	20
243		Chain casing	134
243		Chain casing, to remove	134
243		Chain, drive	24
243		Chain drive specifications	130
243		Chain, driving sprocket	132
243		Chain sprocket pinion	130
243		Chain sprocket and roller pinion	132
243		Clean valves	88
243		Clearances, summary of	113
243		Clutch	25
243		Clutch, compound	115
243		Clutch description	115
243		Clutch lever	149
243		Clutch shaft	24
243		Clutch specifications	115
243		Clutch throw-out, to adjust	151
243		Clutch, to remove	118
243		Clutch, to reline	118
243		Cold-weather suggestions	55
243		Compound clutch	115
243		Connections, brake	149
243		Connections, gasoline pipe	32
243		Connecting rods	91
243		Cooling fan	22
243		Cooling system	97
243		Constant current generators	166
243		Control and drive	14
