level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	137	2410	-1	
2	1	1	0	0	0	7	275	130	1889	-1	
3	1	1	1	0	0	31	275	106	1895	-1	
4	1	1	1	1	0	118	275	19	49	-1	
5	1	1	1	1	1	118	275	19	49	36.817970	2
4	1	1	1	2	0	37	324	52	28	-1	
5	1	1	1	2	1	37	323	100	34	9.978027	150
4	1	1	1	3	0	53	365	35	28	-1	
5	1	1	1	3	1	53	363	84	40	59.630867	764
4	1	1	1	4	0	37	406	52	27	-1	
5	1	1	1	4	1	37	403	100	41	0.000000	139
4	1	1	1	5	0	37	442	100	48	-1	
5	1	1	1	5	1	37	441	100	49	44.701672	169
4	1	1	1	6	0	36	485	101	45	-1	
5	1	1	1	6	1	36	485	101	45	45.303806	169
4	1	1	1	7	0	36	530	100	44	-1	
5	1	1	1	7	1	36	530	100	44	28.999359	138
4	1	1	1	8	0	53	613	79	41	-1	
5	1	1	1	8	1	53	613	79	42	41.035477	3
4	1	1	1	9	0	0	0	137	2410	-1	
5	1	1	1	9	1	37	765	59	51	23.364555	17
4	1	1	1	10	0	36	855	51	40	-1	
5	1	1	1	10	1	36	855	51	40	95.515030	171
4	1	1	1	11	0	38	1466	87	45	-1	
5	1	1	1	11	1	38	1461	87	50	33.424545	107
4	1	1	1	12	0	38	1515	44	38	-1	
5	1	1	1	12	1	38	1515	44	38	88.167366	11
4	1	1	1	13	0	58	1593	32	40	-1	
5	1	1	1	13	1	58	1593	32	40	89.413902	42
4	1	1	1	14	0	57	1922	77	39	-1	
5	1	1	1	14	1	57	1922	77	39	19.182861	12
4	1	1	1	15	0	58	2041	49	48	-1	
5	1	1	1	15	1	58	2041	49	48	61.536354	76
4	1	1	1	16	0	41	2089	59	44	-1	
5	1	1	1	16	1	41	2089	59	44	73.456909	108
4	1	1	1	17	0	41	2139	13	25	-1	
5	1	1	1	17	1	41	2136	59	34	74.740616	150
