level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	135	2410	-1	
2	1	1	0	0	0	43	48	74	1045	-1	
3	1	1	1	0	0	43	83	74	1010	-1	
4	1	1	1	1	0	59	83	51	28	-1	
5	1	1	1	1	1	59	83	51	28	86.163452	136
4	1	1	1	2	0	73	125	35	26	-1	
5	1	1	1	2	1	73	125	35	26	96.699203	23
4	1	1	1	3	0	57	165	50	27	-1	
5	1	1	1	3	1	57	165	50	27	95.652077	133
4	1	1	1	4	0	56	205	52	28	-1	
5	1	1	1	4	1	56	205	52	28	96.637726	137
4	1	1	1	5	0	56	246	50	28	-1	
5	1	1	1	5	1	56	246	50	28	94.560471	143
4	1	1	1	6	0	56	287	49	27	-1	
5	1	1	1	6	1	56	287	49	27	95.927795	140
4	1	1	1	7	0	55	328	48	27	-1	
5	1	1	1	7	1	55	328	48	27	96.638100	101
4	1	1	1	8	0	70	370	33	25	-1	
5	1	1	1	8	1	70	370	33	25	96.863144	94
4	1	1	1	9	0	69	411	34	25	-1	
5	1	1	1	9	1	69	411	34	25	97.001259	20
4	1	1	1	10	0	70	452	34	26	-1	
5	1	1	1	10	1	70	452	34	26	96.390938	19
4	1	1	1	11	0	67	493	35	25	-1	
5	1	1	1	11	1	67	493	35	25	96.053970	22
4	1	1	1	12	0	69	534	31	25	-1	
5	1	1	1	12	1	69	534	31	25	96.847984	18
4	1	1	1	13	0	66	575	35	25	-1	
5	1	1	1	13	1	66	575	35	25	95.972855	38
4	1	1	1	14	0	68	616	31	25	-1	
5	1	1	1	14	1	68	616	31	25	96.325676	19
4	1	1	1	15	0	49	656	51	26	-1	
5	1	1	1	15	1	49	656	51	26	82.781967	135
4	1	1	1	16	0	48	697	50	26	-1	
5	1	1	1	16	1	48	697	50	26	96.926178	144
4	1	1	1	17	0	47	738	51	26	-1	
5	1	1	1	17	1	47	738	51	26	91.200287	132
4	1	1	1	18	0	62	780	34	25	-1	
5	1	1	1	18	1	62	780	34	25	96.777267	24
4	1	1	1	19	0	45	821	50	25	-1	
5	1	1	1	19	1	45	821	50	25	96.696777	144
4	1	1	1	20	0	45	862	51	25	-1	
5	1	1	1	20	1	45	862	51	25	96.218697	140
4	1	1	1	21	0	45	903	49	25	-1	
5	1	1	1	21	1	45	903	49	25	96.898659	142
4	1	1	1	22	0	62	945	33	24	-1	
5	1	1	1	22	1	62	945	33	24	96.938171	18
4	1	1	1	23	0	44	986	48	24	-1	
5	1	1	1	23	1	44	986	48	24	96.848648	141
4	1	1	1	24	0	43	1027	49	25	-1	
5	1	1	1	24	1	43	1027	49	25	96.642540	141
4	1	1	1	25	0	58	1068	59	25	-1	
5	1	1	1	25	1	58	1068	59	25	0.000000	26
2	1	2	0	0	0	12	1176	79	1106	-1	
3	1	2	1	0	0	12	1176	79	1106	-1	
4	1	2	1	1	0	56	1176	35	25	-1	
5	1	2	1	1	1	56	1176	35	25	96.814751	46
4	1	2	1	2	0	56	1217	35	26	-1	
5	1	2	1	2	1	56	1217	35	26	96.853401	23
4	1	2	1	3	0	56	1259	33	24	-1	
5	1	2	1	3	1	56	1259	33	24	96.839561	24
4	1	2	1	4	0	55	1300	33	25	-1	
5	1	2	1	4	1	55	1300	33	25	96.385750	81
4	1	2	1	5	0	57	1342	32	24	-1	
5	1	2	1	5	1	57	1342	32	24	96.766937	15
4	1	2	1	6	0	57	1384	31	24	-1	
5	1	2	1	6	1	57	1384	31	24	96.427650	15
4	1	2	1	7	0	38	1425	50	25	-1	
5	1	2	1	7	1	38	1425	50	25	96.550621	166
4	1	2	1	8	0	37	1466	51	25	-1	
5	1	2	1	8	1	37	1466	51	25	96.683777	174
4	1	2	1	9	0	37	1508	50	25	-1	
5	1	2	1	9	1	37	1508	50	25	96.668541	175
4	1	2	1	10	0	37	1549	49	26	-1	
5	1	2	1	10	1	37	1549	49	26	96.254189	174
4	1	2	1	11	0	36	1591	50	25	-1	
5	1	2	1	11	1	36	1591	50	25	96.551315	174
4	1	2	1	12	0	35	1633	49	26	-1	
5	1	2	1	12	1	35	1633	49	26	96.576111	171
4	1	2	1	13	0	35	1674	50	26	-1	
5	1	2	1	13	1	35	1674	50	26	96.950180	172
4	1	2	1	14	0	35	1716	50	26	-1	
5	1	2	1	14	1	35	1716	50	26	96.407120	182
4	1	2	1	15	0	35	1757	49	26	-1	
5	1	2	1	15	1	35	1757	49	26	96.526215	172
4	1	2	1	16	0	34	1798	49	27	-1	
5	1	2	1	16	1	34	1798	49	27	96.538857	173
4	1	2	1	17	0	34	1838	50	29	-1	
5	1	2	1	17	1	34	1838	50	29	96.836479	148
4	1	2	1	18	0	33	1881	50	27	-1	
5	1	2	1	18	1	33	1881	50	27	96.992798	160
4	1	2	1	19	0	33	1922	47	28	-1	
5	1	2	1	19	1	33	1922	47	28	96.288635	171
4	1	2	1	20	0	32	1964	50	28	-1	
5	1	2	1	20	1	32	1964	50	28	96.782120	130
4	1	2	1	21	0	31	2006	50	27	-1	
5	1	2	1	21	1	31	2006	50	27	96.678291	146
4	1	2	1	22	0	30	2047	50	28	-1	
5	1	2	1	22	1	30	2047	50	28	96.781929	126
4	1	2	1	23	0	12	2088	68	29	-1	
5	1	2	1	23	1	12	2088	68	29	52.848602	160
4	1	2	1	24	0	46	2130	34	26	-1	
5	1	2	1	24	1	46	2130	34	26	96.007347	45
4	1	2	1	25	0	46	2172	35	26	-1	
5	1	2	1	25	1	46	2172	35	26	96.949081	49
4	1	2	1	26	0	30	2213	50	29	-1	
5	1	2	1	26	1	30	2213	50	29	0.000000	119
4	1	2	1	27	0	45	2255	34	27	-1	
5	1	2	1	27	1	45	2255	34	27	96.885895	29
